word	k	p	sqrt_kp	sum	DF	DFtoWF	cluster
manman	0.309223845040735	0.797517924291036	0.855367889219171	80	69	0.8625	4
divitmat	0.447566971136392	0.991268277687556	1.08762539139258	4	4	1	2
āpi	0.0716092272429139	0.640248847521664	0.644241001628386	41	32	0.780487804878049	7
aryaman	0.144115109482182	0.556571731492909	0.574927175456228	117	83	0.709401709401709	7
pūrvya	0.508736958063392	0.835589213140916	0.978275332213303	102	89	0.872549019607843	2
śaśvat	0.503970664920537	0.881552621649468	1.01544150783662	69	63	0.91304347826087	2
mandra	0.433852214963523	0.864991893655471	0.967697638996	69	62	0.898550724637681	4
ubhaya	0.252133175326739	0.842581851901737	0.879497194568866	48	43	0.895833333333333	4
mithas	0.0483039553417991	0.766424373331217	0.767945044998541	15	13	0.866666666666667	6
yahu	1.11832279186503	0.991272487827949	1.49441192846196	10	10	1	1
śeva	1.04592851964563	0.969956675714501	1.42645799832004	33	32	0.96969696969697	1
mīḍhvas	0.468337439144601	0.928044719046929	1.03952246606575	37	35	0.945945945945946	2
dūrāt	0.131776419861432	0.893529523007666	0.903194349693245	16	15	0.9375	6
aghāyu	0.895882001374455	0.991275983092666	1.33612598022905	8	8	1	2
sadam	0.307494326832765	0.907333559294235	0.958022415633309	32	30	0.9375	4
viśvāyu	0.370573961117041	0.940239167543289	1.0106308687352	24	23	0.958333333333333	4
navyas	0.918119458064564	0.954125673065013	1.32412202582637	45	43	0.955555555555556	2
śikṣ	0.378133387984688	0.853763016549198	0.933753793853585	66	59	0.893939393939394	4
citrabhānu	0.560893761646783	0.991299636260401	1.13898058837905	5	5	1	2
ūrmi	0.132898789992125	0.640533910122479	0.654175647970913	76	59	0.776315789473684	7
upāka	1.68122406582589	0.991286186985285	1.95170762769939	15	15	1	1
kṣar	0.177170971817945	0.74436831859592	0.765162562456	62	52	0.838709677419355	6
pṛt	0.932050451311078	0.967395577521511	1.34334368171267	32	31	0.96875	2
nakir	0.135914576248284	0.712076869676564	0.724931886707383	56	46	0.821428571428571	6
parī	0.0738300495486449	0.806936142925326	0.810306617877183	18	16	0.888888888888889	6
śravāyya	1.39288951446136	0.990949327623007	1.70942147213989	13	13	1	1
tarutṛ	0.991330462811078	0.991134223114432	1.40181422974868	9	9	1	1
sanitṛ	0.0449050490596139	0.820652055558798	0.821879711225387	10	9	0.9	6
jarā	0.56089397113812	0.991299636569104	1.13898069181226	5	5	1	2
viṣ	0.588809313694442	0.955409511367112	1.12227614351552	28	27	0.964285714285714	2
rudra	0.0831713599894631	0.385670129831306	0.394536340742641	135	78	0.577777777777778	8
dṛśīka	0.0449050490596517	0.820652055558933	0.821879711225525	10	9	0.9	6
ścandra	0.105549992578266	0.805324511599871	0.812212022760586	26	23	0.884615384615385	6
arbhaka	0.650956971993845	0.99103349418817	1.18570332123605	6	6	1	2
jyāyas	1.39288951446136	0.990949327623007	1.70942147213989	13	13	1	1
ulūkhala	0.000236682175043177	0.0683177355662636	0.0683181455497286	5	1	0.2	8
jargur	1e-04	0.0248552212598695	0.0248554224240319	4	1	0.25	8
dvi	0.130870310790658	0.707996125478329	0.719989966554235	55	45	0.818181818181818	6
nārī	0.0561076683242657	0.781310536840812	0.783322555160557	16	14	0.875	6
dyumattama	0.783037347736387	0.991265621104277	1.26323197376146	7	7	1	2
vad	0.16018115099938	0.556653848179472	0.579242184089264	130	92	0.707692307692308	7
dundubhi	0.00181210287284418	0.321745574128351	0.321750677059122	4	2	0.5	8
agra	0.248184537731222	0.744041352425598	0.784342462759841	87	72	0.827586206896552	4
bhas	0.0284325719825807	0.658879760763671	0.659492949388799	15	12	0.8	7
sotṛ	0.0837910321487633	0.817987404282524	0.82226779739536	19	17	0.894736842105263	6
camū	0.0692280569124281	0.649908486717483	0.653585162753316	38	30	0.789473684210526	7
pavitra	0.0630795788030035	0.381994834595188	0.387168034475174	104	60	0.576923076923077	8
tvac	0.740326132486987	0.961745625860648	1.21368753446067	30	29	0.966666666666667	2
