word	k	p	sqrt_kp	sum	DF	DFtoWF	CPI	CPIcat
этаком	0.0132089391738214	0.321464274425532	0.321735537058049	15	8	0.533333333333333	0.17159228643096	LowCPI
покажь	0.0362294670602259	0.660934549027498	0.66192677267327	10	8	0.8	0.529541418138616	MediumCPI
сажал	0.84365678068156	0.991242643104132	1.30165999442944	4	4	1	1.30165999442944	HighCPI
разве	0.337620404381104	0.721822831784211	0.796878747325738	70	56	0.8	0.637502997860591	MediumCPI
покажи	5.29774542457738	0.99126772113406	5.38968628758603	25	25	1	5.38968628758603	HighCPI
молотить	0.0104264054607082	0.583747959314418	0.583841065645933	4	3	0.75	0.43788079923445	MediumCPI
задел	2.11806258183496	0.991262750138974	2.3385446201393	10	10	1	2.3385446201393	HighCPI
голове	0.111523711849367	0.566036905037638	0.576918812459127	46	33	0.717391304347826	0.413876539372852	LowCPI
приговаривая	0.0207836699756311	0.582954218854934	0.583324594216995	8	6	0.75	0.437493445662746	LowCPI
овца	0.0108225941685353	0.421239845575585	0.421378850970334	8	5	0.625	0.263361781856459	LowCPI
крестьянина	0.0197740455595791	0.515632182493893	0.516011201914462	10	7	0.7	0.361207841340123	LowCPI
житья	0.0357956590066351	0.658213641235472	0.659186261015942	10	8	0.8	0.527349008812754	MediumCPI
баран	0.00863567416009752	0.0576173192644937	0.058260881794099	76	13	0.171052631578947	0.00996567714899062	VLowCPI
виновата	0.027221770471067	0.709376896587564	0.709899011268351	6	5	0.833333333333333	0.591582509390293	MediumCPI
вздумала	2.96528059662364	0.991262730105117	3.12657813220909	14	14	1	3.12657813220909	HighCPI
уйти	0.187198606816202	0.834316003906585	0.855059362131413	20	18	0.9	0.769553425918272	HighCPI
тоже	0.250506974415598	0.808121592488998	0.846058066847549	32	28	0.875	0.740300808491605	HighCPI
муж	0.0593423920712343	0.192413417647571	0.201356506692868	134	50	0.373134328358209	0.0751330248853983	VLowCPI
побежим	1.27085256065515	0.991262856665931	1.61172835239976	6	6	1	1.61172835239976	HighCPI
чрез	0.0407270558397728	0.498988369580528	0.500647666582008	22	15	0.681818181818182	0.34135068176046	LowCPI
времени	0.27613650696873	0.529514961175368	0.597191313223361	132	87	0.659090909090909	0.393603365533579	LowCPI
повстречался	1.48571751252258	0.991282759363656	1.78605656014246	7	7	1	1.78605656014246	HighCPI
рассказала	0.303600587669578	0.811260470466778	0.866208328160894	38	33	0.868421052631579	0.752233548139724	HighCPI
свое	0.387920187735632	0.541095124472737	0.665782251025825	177	115	0.649717514124294	0.432570389084575	LowCPI
горе	0.0716023136854395	0.239980745907971	0.250434921150494	122	53	0.434426229508197	0.108795498532592	VLowCPI
волчица	0.0104264054607075	0.583747959314411	0.583841065645926	4	3	0.75	0.437880799234445	MediumCPI
пойдемте	0.286144737033064	0.905849234969102	0.949969287411876	16	15	0.9375	0.890596206948634	HighCPI
дорогою	0.40314123447598	0.7021588940266	0.809660402511741	92	72	0.782608695652174	0.633647271530928	MediumCPI
тулуп	0.00753505749524924	0.288861755881479	0.288960016442393	10	5	0.5	0.144480008221197	VLowCPI
услышала	0.0280136117235964	0.626021173734624	0.626647646134474	9	7	0.777777777777778	0.487392613660146	MediumCPI
подхватила	0.111580161156204	0.845134337255727	0.852468287018538	11	10	0.909090909090909	0.774971170016853	HighCPI
взаправду	0.0207836699756317	0.58295421885494	0.583324594217002	8	6	0.75	0.437493445662751	LowCPI
пойдешь	0.056932608011183	0.4667032164866	0.470162965506529	35	23	0.657142857142857	0.308964234475719	LowCPI
тропинке	0.019881080185669	0.471426042119373	0.471845070481493	12	8	0.666666666666667	0.314563380320996	LowCPI
