word	k	p	sqrt_kp	sum	DF
strongly	8.82720205809376	0.991262703942574	8.88268528783061	11	11
fleet	8.82720205809376	0.991262703942574	8.88268528783061	11	11
immediately	0.216052837343399	0.686658244829715	0.719846076405753	14	11
mention	0.375371348830607	0.791983682118599	0.876436992752499	14	12
fitted	0.0357441975771576	0.297245896252795	0.299387325215284	12	6
rushing	0.679538044368958	0.850211048149321	1.08840745134345	17	15
affair	6.90697069135415	0.982943122792833	6.9765622848127	17	16
ramadan	0.00518143756388847	0.0629659340015821	0.0631787633617505	11	2
articles	0.0481507512465784	0.406109043475485	0.408953603772095	10	6
pequod	0.422884922479993	0.257669696115375	0.495202312148378	173	62
aught	0.0641137924252329	0.452849087368119	0.457365143303777	11	7
square	11.2421846788306	0.991272504047305	11.2858024761296	14	14
japanese	0.471663317714518	0.870086846850079	0.989705717038645	10	9
hull	0.87600718887158	0.795386137233681	1.18322766290271	32	26
french	0.0920198750955467	0.383570873808888	0.394454398691552	21	12
alike	0.206801313291623	0.727492671637223	0.756314994208765	11	9
worn	0.193264309157313	0.713864851297155	0.739563465235785	11	9
flag	0.0693767264756419	0.353712535736695	0.360452060770582	18	10
stone	0.301557063220102	0.727988110312401	0.787974207150306	16	13
features	8.02473037887394	0.991262705341073	8.08572194702627	10	10
century	0.0481507512465784	0.406109043475485	0.408953603772095	10	6
peleg	0.0112379103554405	0.0211237677323532	0.0239270598354107	74	6
mate	0.155373539901579	0.222718273198425	0.271559139264426	77	30
term	0.471663317714518	0.870086846850079	0.989705717038645	10	9
barbaric	0.652617142225422	0.893890075612822	1.10677396138759	11	10
chased	0.205326665169347	0.675598188000779	0.706110438288162	14	11
inserted	5.01921209254988	0.978029098429361	5.11361231883817	16	15
helm	0.14702692071277	0.380442227236201	0.40786419759366	34	19
tiller	0.022005734229729	0.193816671171109	0.195061924431293	13	5
foe	0.216052837343399	0.686658244829715	0.719846076405753	14	11
helmsman	0.107996514324655	0.582312699469824	0.592242625171566	11	8
temporary	0.206801313291623	0.727492671637223	0.756314994208765	11	9
shape	0.237742109249945	0.665085949806123	0.706300666246413	17	13
ends	0.583067722126291	0.813350688903353	1.00075337207781	19	16
loose	0.100428383986517	0.289495710829259	0.306420669829372	35	17
complete	0.916420794179155	0.844287395875643	1.24605308026521	24	21
forward	0.653654542705775	0.645388927868284	0.918581041288611	51	36
noon	1.49632028967214	0.917915128377851	1.75543230920176	19	17
stout	0.338360058607011	0.78700542943793	0.856659252693462	13	11
appearance	0.471663317714518	0.870086846850079	0.989705717038645	10	9
quaker	0.00544573619834752	0.0714522764572861	0.0716594993958961	10	2
wrinkles	0.129227319148435	0.567236958614303	0.581770974896734	14	10
windward	0.18315434399826	0.541742130809072	0.571865412504539	22	15
advancing	2.0486992064641	0.935668972989142	2.25225328628491	20	18
dost	0.0352653493322075	0.192547598536067	0.195750408851499	21	8
eh	0.0656839757065695	0.329265278591739	0.335752897754757	19	10
hast	0.193152201759246	0.494838881121339	0.531199860046916	28	18
officers	0.180107750608636	0.561165366993876	0.589360136879543	20	14
hailed	0.721601036394243	0.829912999022096	1.09975617373629	21	18
ahab	0.251084483439059	0.0652266928397377	0.259418463650274	511	69
bildad	0.00656910108718074	0.0121499262072685	0.0138120887607802	76	4
nearer	0.540969236725915	0.836630935915599	0.996292646773442	15	13
peculiar	0.588470131242913	0.60306567939189	0.842606259782974	55	36
indispensable	8.82720205809376	0.991262703942574	8.88268528783061	11	11
experience	0.158422428418196	0.692268088626906	0.710163905276147	10	8
step	0.583067722126291	0.813350688903353	1.00075337207781	19	16
bow	0.282715853586097	0.488713611057679	0.564596535148731	42	26
crow	0.0202289698855465	0.170249759230372	0.171447343929937	14	5
glancing	0.173940362709544	0.655169814728293	0.677866311237425	13	10
perceived	0.205326665169347	0.675598188000779	0.706110438288162	14	11
horizon	0.269897948013982	0.68042843174217	0.732002563564682	18	14
squall	0.0781667932893906	0.356907075480441	0.3653665393836	20	11
below	1.40604836880277	0.80294155578063	1.61916248641461	49	38
uncommon	0.324777293994936	0.74242629239847	0.810356150306278	16	13
largest	0.177943372482435	0.583987621993973	0.6104960167377	18	13
children	0.301557063220102	0.727988110312401	0.787974207150306	16	13
nail	0.158422428418196	0.692268088626906	0.710163905276147	10	8
vessels	0.110114483692944	0.38478642206034	0.400232170272408	25	14
originally	0.237742109249945	0.665085949806123	0.706300666246413	17	13
instances	0.175712476795527	0.445945903390346	0.479314743412145	31	19
named	0.158422428418196	0.692268088626906	0.710163905276147	10	8
fashion	0.652617142225422	0.893890075612822	1.10677396138759	11	10
natural	0.61320712662432	0.707495727305761	0.93625487144194	36	27
force	0.265867748313304	0.758808249912153	0.804037076090357	12	10
brain	0.120112916704615	0.327651295060697	0.348973471648264	35	18
watches	0.913122102887121	0.915290408806593	1.29288379494614	12	11
virgin	0.105058649700179	0.575589705728006	0.585098990955272	11	8
birth	0.150207227431756	0.680812396693037	0.697185578353176	10	8
deemed	1.97840434994955	0.952525913863824	2.19576624176651	14	13
according	3.19064066261509	0.945722502510994	3.32784898841406	26	23
lovely	0.652617142225422	0.893890075612822	1.10677396138759	11	10
pious	0.150207227431756	0.680812396693037	0.697185578353176	10	8
practical	10.4321467685774	0.991262703030032	10.4791358397322	13	13
rising	0.110103220982359	0.335259040556879	0.352875818873735	31	16
task	0.471663317714518	0.870086846850079	0.989705717038645	10	9
hearted	8.82720205809376	0.991262703942574	8.88268528783061	11	11
swear	1.31227314979135	0.934780947045355	1.61117231810329	13	12
hammer	0.0478138484387602	0.184553415429996	0.190646603036617	30	11
volume	0.304332438070111	0.768743108099659	0.826791508853606	13	11
knowledge	0.133597640753185	0.612543751406432	0.626943519786178	12	9
beef	0.0700507371939316	0.355926673144933	0.36275460360612	18	10
seven	0.0287889466421873	0.226115397700065	0.227940730291506	14	6
seventy	0.042830107447704	0.216577677060372	0.220772073199598	22	9
magnitude	0.206904362895138	0.583171960677855	0.618788292638037	21	15
bread	0.0723128177972472	0.406373771164607	0.41275753840278	15	9
steadily	0.107996514324655	0.582312699469824	0.592242625171566	11	8
sink	0.137023565959824	0.469334389870483	0.488927629760729	22	14
insult	0.0526067986738867	0.383692968392491	0.387282544482134	12	7
flames	0.0254825188134088	0.184445388193287	0.18619736837788	16	6
sliding	0.158422428418196	0.692268088626906	0.710163905276147	10	8
sailing	0.491975636777183	0.672637419640258	0.833355341665618	34	25
leeward	0.119005950362588	0.368176682083804	0.386932145798125	29	16
bring	0.479877352339433	0.791042935767132	0.925219541252446	18	15
unseen	0.338360058607011	0.78700542943793	0.856659252693462	13	11
wonders	0.0683198207140848	0.427349460541571	0.432776107620992	13	8
foolish	0.218481197627704	0.64601233313908	0.681957453426996	17	13
stump	0.0788789582230846	0.482776775531491	0.48917819354806	12	8
accursed	8.02473037887394	0.991262705341073	8.08572194702627	10	10
bye	0.032363553629735	0.261180933341152	0.263178417702706	13	6
happens	9.62072209009542	0.991255741468079	9.67165350288375	12	12
revealed	8.525856628368	0.985327827309959	8.58260462649643	18	17
respect	3.17241341745791	0.967765392690956	3.31674188723772	15	14
fastened	0.206801313291623	0.727492671637223	0.756314994208765	11	9
murder	0.0784384529955833	0.52692494789974	0.532731162620964	10	7
stroke	0.265793661863337	0.71559959612651	0.763366918763937	15	12
handed	0.158422428418196	0.692268088626906	0.710163905276147	10	8
seized	0.479877352339433	0.791042935767132	0.925219541252446	18	15
rapid	0.133597640753185	0.612543751406432	0.626943519786178	12	9
birds	0.193264309157313	0.713864851297155	0.739563465235785	11	9
ghost	0.166814402536154	0.645655967534384	0.666857311054063	13	10
dashed	0.565925458087642	0.785074124127212	0.967787685644851	22	18
eight	0.164048105152864	0.482344462543619	0.509478126469368	25	16
regular	1.0779965653355	0.874337601356204	1.38799958069895	22	19
ordinary	0.479877352339433	0.791042935767132	0.925219541252446	18	15
becomes	0.913122102887121	0.915290408806593	1.29288379494614	12	11
frantic	3.17241341745791	0.967765392690956	3.31674188723772	15	14
