word	k	p	sqrt_kp	sum	DF	DFtoWF	CPI	CPIcat
to.bald	2.52664399844383	0.991262741513418	2.71413553780664	10	10	1	2.71413553780664	HighCPI
he.used	0.302832550714775	0.901038626307414	0.950567283189553	15	14	0.933333333333333	0.887196130976916	MediumCPI
these.two	0.153804210671163	0.80316257309721	0.817756598288458	17	15	0.882352941176471	0.721549939666287	LowCPI
her.life	0.0558469063158747	0.501862578371732	0.504960319743024	25	17	0.68	0.343373017425256	VLowCPI
her.whole	0.202391276879939	0.827707375762308	0.852092558850515	19	17	0.894736842105263	0.762398605287303	LowCPI
time.was	0.108322015811565	0.830084697840199	0.837122610313409	10	9	0.9	0.753410349282068	LowCPI
was.himself	2.52664399844383	0.991262741513418	2.71413553780664	10	10	1	2.71413553780664	HighCPI
the.garden	0.0303145580966947	0.353535643959085	0.354832952221412	25	14	0.56	0.198706453243991	VLowCPI
point.of	0.181562920655195	0.694616826431409	0.71795377965332	36	29	0.805555555555556	0.578351655831841	VLowCPI
only.at	3.70770448621818	0.99110647736623	3.83788543427233	15	15	1	3.83788543427233	HighCPI
with.those	3.70770448621818	0.99110647736623	3.83788543427233	15	15	1	3.83788543427233	HighCPI
being.a	5.73959304912817	0.991211463471229	5.82455393441568	23	23	1	5.82455393441568	HighCPI
fear.and	1.58424719479089	0.967491581856826	1.85630793112744	24	23	0.958333333333333	1.77896176733046	MediumCPI
it.his	0.080601356192996	0.736581575189145	0.7409784042253	13	11	0.846153846153846	0.626981726652177	LowCPI
his.duty	0.16910653055409	0.864046920727402	0.88043971962568	12	11	0.916666666666667	0.807069742990207	LowCPI
duty.to	0.322646144175624	0.868665181973871	0.926649735728175	22	20	0.909090909090909	0.842408850661977	MediumCPI
the.architect	0.0304076809777067	0.554905544242494	0.555738058885209	11	8	0.727272727272727	0.404173133734697	VLowCPI
mary.did	0.0550277401317841	0.692887405332249	0.695069067540822	11	9	0.818181818181818	0.568692873442491	VLowCPI
the.appointed	0.108322015814094	0.830084697843635	0.837122610317143	10	9	0.9	0.753410349285429	LowCPI
same.feeling	3.02725448137197	0.991253163999155	3.18541245839922	12	12	1	3.18541245839922	HighCPI
door.opened	0.618208421828178	0.936196390428168	1.12189363768141	19	18	0.947368421052632	1.06284660411923	MediumCPI
the.figure	3.47501847160172	0.991122558410154	3.61359617331027	14	14	1	3.61359617331027	HighCPI
glittering.eyes	2.77992178814252	0.991264822655961	2.95136766547726	11	11	1	2.95136766547726	HighCPI
morning.of	0.153804210671163	0.80316257309721	0.817756598288458	17	15	0.882352941176471	0.721549939666287	LowCPI
day.that	2.52664399844383	0.991262741513418	2.71413553780664	10	10	1	2.71413553780664	HighCPI
that.and	3.31450196977319	0.981597772744443	3.45679873511421	28	27	0.964285714285714	3.33334163743156	HighCPI
and.every	0.0760767321831997	0.681972188903186	0.686202401348958	16	13	0.8125	0.557539451096028	VLowCPI
the.tall	0.00616982861688261	0.112254822897704	0.112424250270823	22	6	0.272727272727273	0.0306611591647699	VLowCPI
book.and	0.023870542856986	0.518585168379994	0.519134259782567	10	7	0.7	0.363393981847797	VLowCPI
to.hand	0.138348215754867	0.7959038441128	0.807838571668924	16	14	0.875	0.706858750210309	LowCPI
